В СЛЕДСТВИЕ (= из-за)|ВСЛЕДСТВИЕ
В ПОСЛЕДСТВИИ|ВПОСЛЕДСТВИИ
В ВИДУ (= из-за)|ВВИДУ
НА ВСТРЕЧУ (= к)|НАВСТРЕЧУ
НА ПОДОБИЕ (= вроде)|НАПОДОБИЕ
В СЛЕД (= за)|ВСЛЕД
ПО СЕРЕДИНЕ|ПОСЕРЕДИНЕ
В БЛИЗИ (= У)|ВБЛИЗИ
ПО ЗАДИ (= за)|ПОЗАДИ
В МЕСТО|ВМЕСТО
НА ПРОТИВ (= перед, у)|НАПРОТИВ
НА КАНУНЕ (= перед)|НАКАНУНЕ
В ТЕЧЕНИЕ|В ТЕЧЕНИЕ
В ПРОДОЛЖЕНИЕ|В ПРОДОЛЖЕНИЕ
НА ПРОТЯЖЕНИИ|НА ПРОТЯЖЕНИИ
В ВИДЕ (= как)|В ВИДЕ
ЗА СЧЁТ (= благодаря)|ЗА СЧЁТ
В СВЯЗИ С|В СВЯЗИ С
В ОТЛИЧИЕ ОТ|В ОТЛИЧИЕ ОТ
В ЗАКЛЮЧЕНИЕ (= под конец)|В ЗАКЛЮЧЕНИЕ
НЕ СМОТРЯ НА (= вопреки)|НЕ СМОТРЯ НА
НЕ ВЗИРАЯ НА (= вопреки)|НЕ ВЗИРАЯ НА
В СИЛУ|В СИЛУ
В ЦЕЛЯХ|В ЦЕЛЯХ
ИЗ ЗА|ИЗ-ЗА
ИЗ ПОД|ИЗ-ПОД
В ДРЕБЕЗГИ|ВДРЕБЕЗГИ
НА ТОЩАК|НАТОЩАК
ИС ПОДТИШКА|ИСПОДТИШКА
ИС ПОДЛОБЬЯ|ИСПОДЛОБЬЯ
В ДОГОНКУ|ВДОГОНКУ
ДО ТЛА|ДОТЛА
ЗА ПАНИБРАТА|ЗАПАНИБРАТА
НА СМАРКУ|НАСМАРКУ
НЕ ВПОПАД|НЕВПОПАД
ПО НАСЛЫШКЕ|ПОНАСЛЫШКЕ
С ПРОСОНЬЯ|СПРОСОНЬЯ
С ПОЗАРАНКУ|СПОЗАРАНКУ
НА СПЕХ|НАСПЕХ
НА УГАД|НАУГАД
НА ЧЕКУ|НАЧЕКУ
НЕ ВДОМЕК|НЕВДОМЕК
НЕ ВЗНАЧАЙ|НЕВЗНАЧАЙ
ПОСЛЕ ЗАВТРА|ПОСЛЕЗАВТРА
НА ВСЕГДА|НАВСЕГДА
НА СКОРО|НАСКОРО
ПОЗА ВЧЕРА|ПОЗАВЧЕРА
ОТО ВСЮДУ|ОТОВСЮДУ
ДО ЗАВТРА|ДО ЗАВТРА
НА СЕГОДНЯ|НА СЕГОДНЯ
ПОД УТРО|ПОД УТРО
ЗА ЧАСТУЮ|ЗАЧАСТУЮ
В ПУСТУЮ|ВПУСТУЮ
В ПЛОТНУЮ|ВПЛОТНУЮ
НА ПРЯМУЮ|НАПРЯМУЮ
В РУЧНУЮ|ВРУЧНУЮ
В РАССЫПНУЮ|ВРАССЫПНУЮ
В РУКОПАШНУЮ|ВРУКОПАШНУЮ
НА БОКОВУЮ|НА БОКОВУЮ
НА ПОПЯТНУЮ|НА ПОПЯТНУЮ
В ОТКРЫТУЮ|В ОТКРЫТУЮ
НА МИРОВУЮ|НА МИРОВУЮ
В ТРОЕМ|ВТРОЕМ
В СЕМЕРОМ|ВСЕМЕРОМ
НА ДВОЕ|НАДВОЕ
В ДВОЕ|ВДВОЕ
В ТРОЕ|ВТРОЕ
ПО ДВОЕ|ПО ДВОЕ
ПО ТРОЕ|ПО ТРОЕ
ПО ОДНОМУ|ПО ОДНОМУ
